,"United Airlines Holdings Inc - GJR-GARCH Volatility"
2011-04-05,0.5081600810768198
2011-04-06,0.5068278169161594
2011-04-07,0.49792587279634315
2011-04-08,0.5433802535977913
2011-04-11,0.5383902005051726
2011-04-12,0.5433932388243343
2011-04-13,0.5353062002256279
2011-04-14,0.5319817365286144
2011-04-15,0.5206337637917848
2011-04-18,0.5098688301906679
2011-04-19,0.500519482138308
2011-04-20,0.5008800179683753
2011-04-21,0.49157009876517105
2011-04-22,0.48115730234508547
2011-04-25,0.489193584994734
2011-04-26,0.48242441356133703
2011-04-27,0.4727465223563258
2011-04-28,0.47842229839337547
2011-04-29,0.47438437579667403
2011-05-02,0.4699988199985187
2011-05-03,0.4616393410444998
2011-05-04,0.4548972837905278
2011-05-05,0.4649049309267433
2011-05-06,0.4558171646614463
2011-05-09,0.44900441467762875
2011-05-10,0.4415922309099199
2011-05-11,0.43279288903585283
2011-05-12,0.428579256614223
2011-05-13,0.420142955671043
2011-05-16,0.41520078034608754
2011-05-17,0.40758125864666545
2011-05-18,0.4054809854974706
2011-05-19,0.40341166319282346
2011-05-20,0.39662276031513877
2011-05-23,0.39098851645540694
2011-05-24,0.3927723462770769
2011-05-25,0.3982557479811183
2011-05-26,0.3972031540660271
2011-05-27,0.39471321386545954
2011-05-30,0.38725005409941526
2011-05-31,0.38046989736377307
2011-06-01,0.4000415668402473
2011-06-02,0.3952369921958217
2011-06-03,0.3916195725445806
2011-06-06,0.4069670586177707
2011-06-07,0.3994633099547442
2011-06-08,0.391849903406904
2011-06-09,0.3844792041190264
2011-06-10,0.37741474692968746
2011-06-13,0.3743802350552176
2011-06-14,0.3677534554562336
2011-06-15,0.36171099900334797
2011-06-16,0.3553515943400283
2011-06-17,0.3740748203234214
2011-06-20,0.3680953007034999
2011-06-21,0.3621814456871031
2011-06-22,0.3670230848325484
2011-06-23,0.3775336790274478
2011-06-24,0.5181430613257308
2011-06-27,0.5078282111108047
2011-06-28,0.4969386835415412
2011-06-29,0.4906775972061492
2011-06-30,0.48286665115743915
2011-07-01,0.4745416424298293
2011-07-04,0.4646328524760168
2011-07-05,0.4602480874484977
2011-07-06,0.45357572157248455
2011-07-07,0.44461801582931837
2011-07-08,0.4370618445941032
2011-07-11,0.4371812662958009
2011-07-12,0.4457506688721846
2011-07-13,0.43670655731280245
2011-07-14,0.4382293824014999
2011-07-15,0.4346753036462964
2011-07-18,0.4331336999126251
2011-07-19,0.42498485808320274
2011-07-20,0.42230132512224017
2011-07-21,0.41403455507964554
2011-07-22,0.41346821933493266
2011-07-25,0.45776031020611646
2011-07-26,0.4498397474656947
2011-07-27,0.46681246255857395
2011-07-28,0.501834774004353
2011-07-29,0.5078768394010501
2011-08-01,0.4978409673781377
2011-08-02,0.5260884716471176
2011-08-03,0.5320418930873771
2011-08-04,0.5799551086075543
2011-08-05,0.5690122072504246
2011-08-08,0.5586843545330404
2011-08-09,0.6012252689300409
2011-08-10,0.6758061585987509
2011-08-11,0.6696013440846725
2011-08-12,0.6557353582048172
2011-08-15,0.6462445667083013
2011-08-16,0.6375531224925497
2011-08-17,0.6229796850620412
2011-08-18,0.64198617742129
2011-08-19,0.6510882520826191
2011-08-22,0.6480778286594905
2011-08-23,0.6400360614840386
2011-08-24,0.6255404159604717
2011-08-25,0.6228997896933343
2011-08-26,0.6212080521049288
2011-08-29,0.6133253296579231
2011-08-30,0.5997720166863406
2011-08-31,0.5872795586430708
2011-09-01,0.5754630622377078
2011-09-02,0.5676729340033749
2011-09-05,0.5550607426219224
2011-09-06,0.5515031133185017
2011-09-07,0.552167778849871
2011-09-08,0.5561936892845872
2011-09-09,0.5459953845958774
2011-09-12,0.5348799940173496
2011-09-13,0.5496897634120541
2011-09-14,0.5472829542384817
2011-09-15,0.5357682857355408
2011-09-16,0.5242876767577129
2011-09-19,0.5140853431094881
2011-09-20,0.5030147870589889
2011-09-21,0.5267947721836275
2011-09-22,0.5296755006605459
2011-09-23,0.5383623500951752
2011-09-26,0.5379736982418378
2011-09-27,0.5606778647316122
2011-09-28,0.5495859168501318
2011-09-29,0.5395492785649889
2011-09-30,0.5762857416247603
2011-10-03,0.7563379244755614
2011-10-04,0.7470415892037069
2011-10-05,0.7423460325212226
2011-10-06,0.7276220557404786
2011-10-07,0.7232865490246587
2011-10-10,0.7084737906231959
2011-10-11,0.6941067525964576
2011-10-12,0.6798983335764253
2011-10-13,0.6694920074205517
2011-10-14,0.6546821030087808
2011-10-17,0.64719474966968
2011-10-18,0.6329705964734855
2011-10-19,0.6247226968823848
2011-10-20,0.6150426424240842
2011-10-21,0.6038002153030422
2011-10-24,0.5948443090422905
2011-10-25,0.6185595234090249
2011-10-26,0.605762775350219
2011-10-27,0.5938642572170849
2011-10-28,0.5984878946144191
2011-10-31,0.585244041404951
2011-11-01,0.5790181862428848
2011-11-02,0.5664143642246372
2011-11-03,0.5538608742274543
2011-11-04,0.5423671450226314
2011-11-07,0.530483918700652
2011-11-08,0.532277953704641
2011-11-09,0.5265854460579024
2011-11-10,0.5294187643066687
2011-11-11,0.5263942286917667
2011-11-14,0.5156329973925253
2011-11-15,0.5095951922850136
2011-11-16,0.5503353268689918
2011-11-17,0.5448511760104772
2011-11-18,0.532921438863178
2011-11-21,0.5305936411228465
2011-11-22,0.5208012096760145
2011-11-23,0.5248384551459621
2011-11-24,0.5134545705318047
2011-11-25,0.5055082432562302
2011-11-28,0.5046011414969253
2011-11-29,0.5149221533397064
2011-11-30,0.5058672908975239
2011-12-01,0.5165241407717552
