,"American Airlines Group Inc - GJR-GARCH Volatility"
2023-04-06,0.41208011793824756
2023-04-10,0.4065361356632397
2023-04-11,0.4013301329329758
2023-04-12,0.5279728629389961
2023-04-13,0.5195176147158054
2023-04-14,0.5130357531400711
2023-04-17,0.5067945027326165
2023-04-18,0.49938133725640965
2023-04-19,0.4937401968647074
2023-04-20,0.49293043728299024
2023-04-21,0.48520479387574067
2023-04-24,0.4780091626736877
2023-04-25,0.4888407200714769
2023-04-26,0.4819022394635659
2023-04-27,0.47475026824636973
2023-04-28,0.4799661588070559
2023-05-01,0.473671401289966
2023-05-02,0.46730137470373445
2023-05-03,0.46003094026380437
2023-05-04,0.4589514327246403
2023-05-05,0.45464892609572943
2023-05-08,0.4525482528968596
2023-05-09,0.4458473312693483
2023-05-10,0.44027405964921446
2023-05-11,0.4390321236538393
2023-05-12,0.4325984854342419
2023-05-15,0.42756766201386187
2023-05-16,0.4217011548478377
2023-05-17,0.4258117105012496
2023-05-18,0.4198770119927977
2023-05-19,0.4174333072479962
2023-05-22,0.42550729253445235
2023-05-23,0.4265410845393442
2023-05-24,0.4260090041301944
2023-05-25,0.4269965835928901
2023-05-26,0.42072183969934335
2023-05-30,0.4160548007174055
2023-05-31,0.4104988740544851
2023-06-01,0.4050242792722431
2023-06-02,0.3998095576646461
2023-06-05,0.3943877954501128
2023-06-06,0.3891322099235683
2023-06-07,0.3848094655800452
2023-06-08,0.3798889469305471
2023-06-09,0.3761712429200297
2023-06-12,0.3750295956321314
2023-06-13,0.3715293167436455
2023-06-14,0.3679717429368728
2023-06-15,0.3631289770866545
2023-06-16,0.36025858712874564
2023-06-20,0.35729038778002414
2023-06-21,0.3526799795848923
2023-06-22,0.34823018938627365
2023-06-23,0.34453786265082675
2023-06-26,0.34087666039199577
2023-06-27,0.3520438324981706
2023-06-28,0.3482287420647526
2023-06-29,0.34386554872507946
2023-06-30,0.34153419858046424
2023-07-03,0.3377277578168546
2023-07-05,0.33439201485681447
2023-07-06,0.3418396413524915
2023-07-07,0.341218955510974
2023-07-10,0.3377627510546419
2023-07-11,0.33445636666088446
2023-07-12,0.3333928601515035
2023-07-13,0.33020643906501884
2023-07-14,0.3319734230326277
2023-07-17,0.3280184635047241
2023-07-18,0.328259720343511
2023-07-19,0.3247471939832583
2023-07-20,0.3965100624196062
2023-07-21,0.39091935331983757
2023-07-24,0.40190586061912564
2023-07-25,0.3992556444184603
2023-07-26,0.3937773030533883
2023-07-27,0.39041334249741005
2023-07-28,0.38577307837639474
2023-07-31,0.38052043046333267
2023-08-01,0.392238370382093
2023-08-02,0.39181462759830704
2023-08-03,0.3863329507044409
2023-08-04,0.3822949662237263
2023-08-07,0.3774599809251306
2023-08-08,0.3729982412827171
2023-08-09,0.38005269318872087
2023-08-10,0.3748433864962806
2023-08-11,0.37062950934862166
2023-08-14,0.3667154597232028
2023-08-15,0.36971878772926864
2023-08-16,0.3656686253973671
2023-08-17,0.372485881074706
2023-08-18,0.36747246754008656
2023-08-21,0.36289447887781373
2023-08-22,0.3668478213101449
2023-08-23,0.3621736876141059
2023-08-24,0.3611370293946607
2023-08-25,0.35640348988190335
2023-08-28,0.3523309024198701
2023-08-29,0.34850951837790606
2023-08-30,0.34555168412265047
2023-08-31,0.3413555190706605
2023-09-01,0.3373515566882714
2023-09-05,0.34645683367484614
2023-09-06,0.342119842160609
2023-09-07,0.3482137981183399
2023-09-08,0.3438468973249577
2023-09-11,0.33988407553164357
2023-09-12,0.33570530826902334
2023-09-13,0.3930772733191274
2023-09-14,0.3877869023058928
2023-09-15,0.3824546843745021
2023-09-18,0.381137545251055
2023-09-19,0.37608102903496743
2023-09-20,0.372694702940624
2023-09-21,0.3676682357778545
2023-09-22,0.3654950566013171
2023-09-25,0.36065208442486507
2023-09-26,0.36083377946084816
2023-09-27,0.357032610275308
2023-09-28,0.3554423548200186
2023-09-29,0.3522105075093587
2023-10-02,0.34811608581046644
2023-10-03,0.3684952352473503
2023-10-04,0.3697324876177369
2023-10-05,0.36522019714139575
2023-10-06,0.36127596875518864
2023-10-09,0.38697140359463256
2023-10-10,0.3816043490318212
2023-10-11,0.37788744991068435
2023-10-12,0.39274459639821907
2023-10-13,0.4007899220289852
2023-10-16,0.39666790039023825
2023-10-17,0.3910513199057126
2023-10-18,0.42553400146169285
2023-10-19,0.41949704885731914
2023-10-20,0.4300560344885303
2023-10-23,0.4251573454616538
2023-10-24,0.41964663134594565
2023-10-25,0.4171531315955809
2023-10-26,0.4114801662291878
2023-10-27,0.4124496231056588
2023-10-30,0.40893123578420865
2023-10-31,0.40313568237009234
2023-11-01,0.39737577832575555
2023-11-02,0.39421389473228874
2023-11-03,0.4000537243921122
