,"US Global Jets ETF - GJR-GARCH Volatility"
2016-12-27,0.19773507731305542
2016-12-28,0.2096169105773673
2016-12-29,0.204119382715116
2016-12-30,0.2041942457563386
2017-01-03,0.19895895054005489
2017-01-04,0.1992019879418878
2017-01-05,0.2009239288885224
2017-01-06,0.19835583480200425
2017-01-09,0.1934547668060935
2017-01-10,0.19779675022608437
2017-01-11,0.19366262003804452
2017-01-12,0.19463434948641517
2017-01-13,0.18997873249392944
2017-01-17,0.18888636583935856
2017-01-18,0.18460701286787562
2017-01-19,0.18193806638524
2017-01-20,0.18084534497741434
2017-01-23,0.19679146627839328
2017-01-24,0.1928076450766411
2017-01-25,0.18868587228512898
2017-01-26,0.19243413418621966
2017-01-27,0.21986164740581746
2017-01-30,0.24153312816257733
2017-01-31,0.23625934648178468
2017-02-01,0.22934197696889247
2017-02-02,0.22260430184522492
2017-02-03,0.21647561802660364
2017-02-06,0.21068318869810188
2017-02-07,0.20971979305730779
2017-02-08,0.2043646065247111
2017-02-09,0.20682424712784525
2017-02-10,0.20136730320486493
2017-02-13,0.2010046208424075
2017-02-14,0.2005686745232166
2017-02-15,0.20324925387316925
2017-02-16,0.19856185736439919
2017-02-17,0.19364602861923094
2017-02-21,0.1891130994933984
2017-02-22,0.18496281464121375
2017-02-23,0.18363382041443238
2017-02-24,0.1797699529954881
2017-02-27,0.17647826835052527
2017-02-28,0.1747068745069867
2017-03-01,0.17965468877822255
2017-03-02,0.2157870033157697
2017-03-03,0.21300501965916202
2017-03-06,0.2245345185043939
2017-03-07,0.2321068572877587
2017-03-08,0.22509649130983808
2017-03-09,0.22208203889553968
2017-03-10,0.21653689939592283
2017-03-13,0.2224848381350963
2017-03-14,0.2490080384244653
2017-03-15,0.24760400723736278
2017-03-16,0.23964618920400133
2017-03-17,0.23242729960140224
2017-03-20,0.225400068322971
2017-03-21,0.2554093373391036
2017-03-22,0.24746142972188614
2017-03-23,0.2415209208329581
2017-03-24,0.2340244371855213
2017-03-27,0.22695139391508481
2017-03-28,0.22306971197363393
2017-03-29,0.22266180274128744
2017-03-30,0.21636505817714655
2017-03-31,0.21039766348512523
2017-04-03,0.20478705818483747
2017-04-04,0.22149779953760262
2017-04-05,0.2151361894242807
2017-04-06,0.20924588598106297
2017-04-07,0.2039163799207901
2017-04-10,0.19885050062798434
2017-04-11,0.19583166342550432
2017-04-12,0.19213231066116912
2017-04-13,0.1989989708516102
2017-04-17,0.19630842875434565
2017-04-18,0.1917658947779818
2017-04-19,0.1902522514978469
2017-04-20,0.18845026717943383
2017-04-21,0.18425736240378565
2017-04-24,0.18834004778591304
2017-04-25,0.1843330464132788
2017-04-26,0.18523755018893984
2017-04-27,0.20283012202333262
2017-04-28,0.19765623794861623
2017-05-01,0.19337261853737203
2017-05-02,0.2037150922244103
2017-05-03,0.19845147618498582
2017-05-04,0.1935373359328892
2017-05-05,0.19050990210485122
2017-05-08,0.1871895958647275
2017-05-09,0.18977547576017298
