,"Delta Air Lines Inc - GJR-GARCH Volatility"
2015-07-23,0.2971642576084816
2015-07-24,0.3104963246159284
2015-07-27,0.3048027460506221
2015-07-28,0.3021089015570379
2015-07-29,0.3053069445656289
2015-07-30,0.29969612009500557
2015-07-31,0.29423001002616983
2015-08-03,0.2952502274342901
2015-08-04,0.2908758724954684
2015-08-05,0.2854091715414906
2015-08-06,0.28126429563668404
2015-08-07,0.27645791578466333
2015-08-10,0.27151423388102514
2015-08-11,0.26885615038529437
2015-08-12,0.26853385261452606
2015-08-13,0.2663813371841203
2015-08-14,0.2619118691468563
2015-08-17,0.25795098371589903
2015-08-18,0.2606119943517566
2015-08-19,0.2576423823830233
2015-08-20,0.28632318732509254
2015-08-21,0.35274074502387726
2015-08-24,0.37734927322044765
2015-08-25,0.3784108433964334
2015-08-26,0.38608558947466554
2015-08-27,0.3774078695522922
2015-08-28,0.368960856460411
2015-08-31,0.36114721707359176
2015-09-01,0.3532214625415619
2015-09-02,0.3596800578291769
2015-09-03,0.36368320830085077
2015-09-04,0.3559953510932411
2015-09-08,0.35212743034305066
2015-09-09,0.3491037083733142
2015-09-10,0.3422202238325491
2015-09-11,0.3354446911191173
2015-09-14,0.32839798964061884
2015-09-15,0.32158038746167344
2015-09-16,0.3151159386638512
2015-09-17,0.309233905644255
2015-09-18,0.31311182092025847
2015-09-21,0.3078353605419624
2015-09-22,0.311174733550139
2015-09-23,0.30500924313863015
2015-09-24,0.30627545837040226
2015-09-25,0.3002863633267418
2015-09-28,0.32493039193033324
2015-09-29,0.3244271739543407
2015-09-30,0.31997223692064286
2015-10-01,0.314375581112783
2015-10-02,0.31274609637851597
2015-10-05,0.31994530095002177
2015-10-06,0.36314028859381603
2015-10-07,0.3573763898189135
2015-10-08,0.34958676004677297
2015-10-09,0.3462980502399631
2015-10-12,0.3432097970629626
2015-10-13,0.34357360608754567
2015-10-14,0.3381633853627563
2015-10-15,0.3313082051504309
2015-10-16,0.324485580573313
2015-10-19,0.3212089674962392
2015-10-20,0.31482242995059934
2015-10-21,0.3151361705675818
2015-10-22,0.3136677426832412
2015-10-23,0.3074550815972961
2015-10-26,0.301633946365458
2015-10-27,0.2984063370640778
2015-10-28,0.29982793665701
2015-10-29,0.29436735620649246
2015-10-30,0.2890682064842137
2015-11-02,0.2839181360885563
2015-11-03,0.2789360636418317
2015-11-04,0.27448336998805595
2015-11-05,0.26980919925013674
2015-11-06,0.2663872496948756
2015-11-09,0.26664051305081155
2015-11-10,0.2637114127223166
2015-11-11,0.2608205314004249
2015-11-12,0.25645246577094943
2015-11-13,0.26793465397368815
2015-11-16,0.2811860231234832
2015-11-17,0.2764639774003116
2015-11-18,0.2715107069711985
2015-11-19,0.26863509003851305
2015-11-20,0.26417241642533384
2015-11-23,0.25968268945002865
2015-11-24,0.29173588192061667
2015-11-25,0.2884020630994168
2015-11-27,0.283238946474527
2015-11-30,0.28565624446176563
2015-12-01,0.28511336482178457
2015-12-02,0.2812043947025011
2015-12-03,0.27625917613719186
2015-12-04,0.27880146484550616
2015-12-07,0.2850520626131304
2015-12-08,0.30998260080204504
2015-12-09,0.31150254380983794
2015-12-10,0.3133913725679123
2015-12-11,0.355712124055394
2015-12-14,0.34987498167202524
2015-12-15,0.3444982908520738
2015-12-16,0.33925464948914114
2015-12-17,0.34549238949649813
2015-12-18,0.3513527099653566
2015-12-21,0.3488956818305437
2015-12-22,0.34156747386131486
2015-12-23,0.3343001376009289
2015-12-24,0.3279004007316856
2015-12-28,0.3222228706966655
2015-12-29,0.3157349825407378
2015-12-30,0.32146109686865687
2015-12-31,0.3177372669360647
2016-01-04,0.361828650606886
2016-01-05,0.35397888750602063
2016-01-06,0.3466129270526418
2016-01-07,0.3847462654789518
2016-01-08,0.37791479039593034
2016-01-11,0.3694756154335493
2016-01-12,0.36139554009422975
2016-01-13,0.4053399151329659
2016-01-14,0.396370281428868
2016-01-15,0.39637978606382035
2016-01-19,0.39273975199869954
2016-01-20,0.38469389649434266
2016-01-21,0.37773590774508053
2016-01-22,0.36940685862609535
2016-01-25,0.3699251524295151
2016-01-26,0.3617825418673488
2016-01-27,0.37981126049657876
2016-01-28,0.40274073844099756
2016-01-29,0.39665017534346303
2016-02-01,0.3897695365212628
2016-02-02,0.4141478083969538
2016-02-03,0.4045879859807999
2016-02-04,0.39539269340745287
2016-02-05,0.4411474896222351
2016-02-08,0.45136881815207397
2016-02-09,0.4444694950162497
2016-02-10,0.43812543135499454
2016-02-11,0.4318623030550363
2016-02-12,0.4221158802982896
2016-02-16,0.41866946246412573
2016-02-17,0.41442606336957144
2016-02-18,0.40506524807739314
2016-02-19,0.3958615939946688
2016-02-22,0.3968303430938718
2016-02-23,0.3877694861641385
2016-02-24,0.37896643123105245
2016-02-25,0.37060316134647314
2016-02-26,0.38316159254288523
