,"Southwest Airlines Co - GJR-GARCH Volatility"
2019-08-02,0.28640225557771015
2019-08-05,0.3293162735122575
2019-08-06,0.32246819005911265
2019-08-07,0.31252959283882226
2019-08-08,0.3052313286672913
2019-08-09,0.2962894712945433
2019-08-12,0.29103047469294346
2019-08-13,0.2834999111110972
2019-08-14,0.3025591248004264
2019-08-15,0.29977603239752176
2019-08-16,0.3101131329047514
2019-08-19,0.30593516960297323
2019-08-20,0.3004273576091232
2019-08-21,0.29422469984690275
2019-08-22,0.2887523672630235
2019-08-23,0.28850750908771855
2019-08-26,0.2809776233083339
2019-08-27,0.274712154081322
2019-08-28,0.27169339631282907
2019-08-29,0.2752115041200131
2019-08-30,0.26863241650999603
2019-09-03,0.27929742855959133
2019-09-04,0.2762377389134222
2019-09-05,0.270871998552822
2019-09-06,0.2673751611500216
2019-09-09,0.2680373869444336
2019-09-10,0.2627097721821554
2019-09-11,0.26974021502178724
2019-09-12,0.2641128372495362
2019-09-13,0.2629469315280176
2019-09-16,0.25739269919716057
2019-09-17,0.2524236938165671
2019-09-18,0.2495314088446583
2019-09-19,0.26812349244331424
2019-09-20,0.268168414247465
2019-09-23,0.26217272398172925
2019-09-24,0.257126750066966
2019-09-25,0.25212731783763537
2019-09-26,0.24857619113664126
2019-09-27,0.2453612536648768
2019-09-30,0.243445243946149
2019-10-01,0.24763051831307065
2019-10-02,0.27715936065736624
2019-10-03,0.270777693320554
2019-10-04,0.2666505780980045
2019-10-07,0.2612512377004174
2019-10-08,0.2558407317062707
2019-10-09,0.2525169697267889
2019-10-10,0.24810494795549726
2019-10-11,0.2443215692483985
2019-10-14,0.2404820284345589
2019-10-15,0.23702734778923717
2019-10-16,0.23858165394681966
2019-10-17,0.23545978510140536
2019-10-18,0.23529683720781286
2019-10-21,0.23348244302302476
2019-10-22,0.23256793330121844
2019-10-23,0.230567540646987
2019-10-24,0.29302380790645666
2019-10-25,0.2862190496804851
2019-10-28,0.2835583051155441
2019-10-29,0.2790816138694916
2019-10-30,0.2726293175724137
2019-10-31,0.279326705490184
2019-11-01,0.27251435264954393
2019-11-04,0.2694540947916732
2019-11-05,0.268399107301049
2019-11-06,0.26238876043001536
2019-11-07,0.25779169497871723
2019-11-08,0.2527336819658195
2019-11-11,0.24809793953195175
2019-11-12,0.24663366193607883
2019-11-13,0.2436483572692416
2019-11-14,0.2397864775169776
2019-11-15,0.2364406564024047
2019-11-18,0.2332243992381586
2019-11-19,0.23125224409721953
2019-11-20,0.2378869025398414
2019-11-21,0.23558978415882126
2019-11-22,0.2337351347144883
2019-11-25,0.23294102687160972
2019-11-26,0.2300525113968548
2019-11-27,0.22761304268428909
2019-11-29,0.22544349890826304
2019-12-02,0.23871929540780737
2019-12-03,0.24654005110732008
2019-12-04,0.24281693104065047
2019-12-05,0.24018828114627078
2019-12-06,0.23787440215374162
2019-12-09,0.2386763800630469
2019-12-10,0.237999799999916
2019-12-11,0.2505107997671957
2019-12-12,0.24783096416711128
2019-12-13,0.245798339294634
2019-12-16,0.242042156658711
2019-12-17,0.2388824932890646
2019-12-18,0.2421298048568164
2019-12-19,0.2402096309476371
2019-12-20,0.23899534221402724
2019-12-23,0.23847843676106234
2019-12-24,0.23692292164330578
2019-12-26,0.23369157366066926
2019-12-27,0.23737289145982948
2019-12-30,0.23521714223244872
2019-12-31,0.23231852788789792
2020-01-02,0.23536210485122705
2020-01-03,0.23697072730613797
2020-01-06,0.23467817111951422
2020-01-07,0.23182972803331328
2020-01-08,0.2290899945436291
2020-01-09,0.2266578443381124
2020-01-10,0.22706290317883285
2020-01-13,0.2247415475607481
2020-01-14,0.224697252319649
2020-01-15,0.22495516353264713
2020-01-16,0.2234001844224843
2020-01-17,0.2231226317521376
2020-01-21,0.2629477940580601
2020-01-22,0.25746024469808926
